Бренд и Юрлицо (!),Веб-сайт,ИНН,МOEX,Регион,"Устойчивое развитие, Социальная отчетность, ESG",Экология,"Забота о потребителях, защита прав потребителей ","Забота о работниках, социальные программы","Поставщикам, Закупки","Корпоративное управление, совет директоров, высший менеджмент","Миссия, ценности",Этический кодекс,Антикоррупция,Раскрытие информации,,Количесво ссылок
Газпромбанк,https://www.gazprombank.ru,7744001497,,RAEX,https://www.gazprombank.ru/sustainability,https://www.gazprombank.ru/sustainability/ecology/,Нет,https://www.gazprombank.ru/sustainability/social/,https://www.gazprombank.ru/tenders/,https://www.gazprombank.ru/about/disclosure/,нет,https://www.gazprombank.ru/about/disclosure/,https://www.gazprombank.ru/about/disclosure/,https://www.gazprombank.ru/about/disclosure/,,8
Россельхозбанк,https://www.rshb.ru,7725114488,,RAEX,sustainability-report-rshb.pdf,Нет,Нет,https://www.rshb.ru/about/job,Нет,нет,https://www.rshb.ru/about/mission,нет,https://www.rshb.ru/about/anticoruption,Нет,,4
Тинькофф Банк,https://www.tinkoff.ru,7710140679,*,RAEX,нет,Нет,Нет,Нет,Нет,нет,нет,нет,нет,Нет,,1
Банк «Санкт-Петербург»,https://www.bspb.ru,7831000027,*,RAEX,нет,Нет,https://www.bspb.ru/about/security,Нет,Нет,нет,нет,нет,https://www.bspb.ru/about/compliance,Нет,,3
ВБРР,https://www.vbrr.ru,7736153344,,RAEX,нет,Нет,Нет,https://www.vbrr.ru/about/pravila/,Нет,нет,нет,https://www.vbrr.ru/upload/docs/kodeks_02.pdf,нет,Нет,,3
АБ «Россия»,https://abr.ru,7831000122,,RAEX,нет,Нет,Нет,Нет,Нет,https://abr.ru/about/corp/,https://abr.ru/about/missiya/,нет,нет,https://abr.ru/about/raskrytie-informatsii/,,3
Новикомбанк,https://novikom.ru,7706196340,,RAEX,https://ar2021.novikom.ru/ru/sustainable-development/sustainability-management,Нет,Нет,Нет,https://novikom.ru/tenders/,https://novikom.ru/about/ustav-i-vnutrennie-dokumenty/,нет,нет,https://novikom.ru/anti-corruption/,https://novikom.ru/information-disclosure/,,5
Московская Биржа,https://www.moex.com,7702077840,*,RAEX,https://www.moex.com/s974,Нет,Нет,Нет,Нет,https://www.moex.com/a313,https://www.moex.com/s207,https://www.moex.com/s3351,https://www.moex.com/s3351,https://www.moex.com/s1451,,6
АФК «Система»,https://www.sistema.ru,7703104630,*,RAEX,https://www.sistema.ru/sustainable-development,Нет,Нет,Нет,https://www.sistema.ru/procurements,https://www.sistema.ru/sustainable-development,нет,https://www.sistema.ru/sustainable-development,https://www.sistema.ru/sustainable-development,https://www.sistema.ru/investors-and-shareholders/disclosure,,6
«Киви Банк»,http://www.qiwi.ru/business/qiwibank/,3123011520,,RAEX,сайта нет,сайта нет,сайта нет,сайта нет,сайта нет,сайта нет,сайта нет,сайта нет,сайта нет,сайта нет,,1
АФК «Система»,https://www.sistema.ru,7703104630,,RAEX,https://www.sistema.ru/sustainable-development,Нет,Нет,Нет,https://www.sistema.ru/procurements,https://www.sistema.ru/about/corpmanage,нет,https://www.sistema.ru/sustainable-development,https://www.sistema.ru/sustainable-development,https://www.sistema.ru/investors-and-shareholders/disclosure,,6
МАГНИТ,https://magnit.ru/,2310031475,*,СЗФО,https://www.magnit.com/ru/sustainable-development/our-approach/,https://www.magnit.com/ru/sustainable-development/environment/,https://magnit.ru/faq/,https://www.magnit.com/ru/sustainable-development/employees/,https://srm.magnit.ru/user/main,https://www.magnit.com/ru/corporate-governance/control-system/,https://www.magnit.com/ru/sustainable-development/communities/,https://www.magnit.com/upload/iblock/613/%D0%9A%D0%BE%D0%B4%D0%B5%D0%BA%D1%81%20%D0%B4%D0%B5%D0%BB%D0%BE%D0%B2%D0%BE%D0%B9%20%D1%8D%D1%82%D0%B8%D0%BA%D0%B8%20%D0%9F%D0%90%D0%9E%20%D0%9C%D0%B0%D0%B3%D0%BD%D0%B8%D1%82.pdf,https://www.magnit.com/ru/anti-corruption/,https://www.magnit.com/ru/disclosure/internal-regulations/,,10
ЛЕНТА,https://lenta.com/,7814148471,,СЗФО,https://corp.lenta.com/ru/sustainability/overview/,https://lenta.com/o-kompanii/sotsialnaya-otvetstvennost/,https://lenta.com/pokupatelyam/chasto-zadavaemye-voprosy-i-obratnaya-svyaz/,https://career.lenta.com/about,https://lenta.com/postavshchikam/,https://lenta.com/globalassets/docs/investors/charter_10-05-2012.pdf,https://lenta.com/o-kompanii/missiya-i-tsennosti/,https://lenta.com/globalassets/docs/partners/Kodeks-delovogo-povedeniya.pdf,https://lenta.com/globalassets/docs/partners/Politika-po-protivodeystviyu-korruptsii.pdf,https://lenta.com/o-kompanii/raskrytie-informatsii/,,10
"""ВкусВилл""",https://vkusvill.ru/,7734443270,,СЗФО,https://vkusvill.ru/about/,https://vkusvill.ru/support/ekologiya/,https://vkusvill.ru/support/,https://vkusvill.ru/job/,https://vkusvill.ru/proizvoditelyam/,https://vkusvill.ru/about/,"https://vkusvill.ru/about/#:~:text=750%20%D0%BD%D0%B0%D1%81%D0%B5%D0%BB%D1%91%D0%BD%D0%BD%D1%8B%D1%85%20%D0%BF%D1%83%D0%BD%D0%BA%D1%82%D0%BE%D0%B2.-,%D0%9C%D0%B8%D1%81%D1%81%D0%B8%D1%8F%0A%D0%B8%20%D1%86%D0%B5%D0%BD%D0%BD%D0%BE%D1%81%D1%82%D0%B8,-%D0%92%D0%BA%D0%BB%D1%8E%D1%87%D1%91%D0%BD%D0%BD%D1%8B%D0%B5%0A%D0%BE%D1%82%D0%BD%D0%BE%D1%88%D0%B5%D0%BD%D0%B8%D1%8F",https://vkusvill.ru/pravila/,Нет,Нет,,9
"Х5 (Вятерочка, Перекресток)",https://www.x5.ru/ru/,7733571872,*,СЗФО,https://esg.x5.ru/ru/,https://www.x5.ru/ru/investors/esg-reports/,https://www.x5.ru/ru/investors/esg-reports/,https://www.x5.ru/ru/investors/esg-reports/,https://www.x5.ru/ru/suppliers/submitting-commercial-offer/,https://www.x5.ru/ru/about/corporate-governance/,https://www.x5.ru/ru/investors/esg-reports/,https://esg.x5.ru/media/files/kodeks-etiki.pdf,https://esg.x5.ru/media/files/politika-protivodejstviya.pdf,https://esg.x5.ru/ru/documents/page/1/,,10
Fix Price,https://fix-price.com/,7721773313,,СЗФО,нет,https://fix-price.com/esg,https://fix-price.com/about/help?section=1&question=59,https://ar2022.fix-price.com/ru/sustainability/people/occupational-health-safety-employee-well-being,https://fix-price.com/partners,https://ir.fix-price.com/ru/overview/corporate_governance/,https://ir.fix-price.com/ru/overview/mission_and_values/,https://img.fix-price.com/_marketplace/documents/politika-v-oblasti-delovoy-etiki-kodeks-povedeniya.pdf,https://img.fix-price.com/_marketplace/documents/anti-corruption-policy.pdf,https://ar2022.fix-price.com/ru/corporate-governance/information-disclosure,,9
«Реалъ»,http://tdreal.spb.ru/,7805506339,,СЗФО,нет,Нет,http://tdreal.spb.ru/kontakty/ (форма обратной связи),Нет,Нет,Нет,Нет,Нет,Нет,Нет,,2
Greenbox,https://greenboxes.ru/,7842187842,,СЗФО,сайт не работает,сайт не работает,сайт не работает,сайт не работает,сайта не работает,сайт не работает,сайт не работает,сайт не работает,сайт не работает,сайт не работает,,1
Grow Food,https://growfood.pro/,9706007124,,СЗФО,нет,Нет,https://quality.growfood.pro/,Нет,"https://growfood.pro/#:~:text=%D0%9A%D0%90%D0%A7%D0%95%D0%A1%D0%A2%D0%92%D0%9E%20%D0%95%D0%94%D0%AB-,%D0%9F%D0%9E%D0%A1%D0%A2%D0%90%D0%92%D0%A9%D0%98%D0%9A%D0%90%D0%9C,-%D0%9B%D0%B8%D1%87%D0%BD%D1%8B%D0%B9%20%D0%BA%D0%B0%D0%B1%D0%B8%D0%BD%D0%B5%D1%82",Нет,Нет,Нет,Нет,Нет,,3
Азбука вкуса,https://av.ru/,7730157021,,СЗФО,https://av.ru/about/press/news/azbuka-vkusa-zapuskaet-programmu-ustoychivogo-razvitiya-//,https://av.ru/about/social/,Нет,https://av.ru/about/social/,https://av.ru/about/suppliers/,https://av.ru/about/social/,https://av.ru/about/mission/,Нет,https://av.ru/about/suppliers/suppliers-anti-corruption/,https://av.ru/about/suppliers/suppliers-electronic-document-management/,,8
ТК «Гарден Сити»,https://www.gardencity.ru/,7722207800,,СЗФО,нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,,1
ТРЦ “Галерея»,https://www.galeria.spb.ru/,4207054930,,СЗФО,нет,Нет,Нет,Нет,Нет,Нет,https://www.galeria.spb.ru/about/,Нет,Нет,Нет,,2
"Fortgroup, управляющей 10 моллами ТРЦ в Петербурге",https://fortgroup.ru/ru/,7804495155,,СЗФО,нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,,1
УЛЫБКА РАДУГИ,https://www.r-ulybka.ru/,7839058974,,СЗФО,нет,Нет,Нет,Нет,https://www.r-ulybka.ru/for-suppliers/,Нет,https://www.r-ulybka.ru/about/,Нет,Нет,Нет,,3
Реал (торговая сеть),http://tdreal.spb.ru/,5029198112,,СЗФО,нет,нет,http://tdreal.spb.ru/postavshhikam/,нет,нет,нет,нет,нет,нет,нет,,2
«О'КЕЙ»,https://www.okmarket.ru,7826087713,,RAEX,https://www.okmarket.ru/about/strategy/,нет,https://www.okmarket.ru/about/strategy/,нет,https://www.okmarket.ru/partners/tenders/,https://www.okeygroup.lu/about/corporate-governance/,https://www.okeygroup.lu/about/mission/,нет,https://www.okmarket.ru/partners/tenders/,https://www.okmarket.ru/about/information-disclosure/,,7
«Гиперглобус» (сеть гипермаркетов «Глобус»),https://www.globus.ru,7743543761,,RAEX,https://www.globus.ru/production/,нет,нет,нет,https://www.globus.ru/partners/suppliers/,Нет,нет,нет,нет,https://www.globus.ru/partners/information_disclosure/,,3
«Детский мир» (ПАО),https://www.detmir.ru,7729355029,,RAEX,https://corp.detmir.ru/our-approach-to-sustainability/,https://corp.detmir.ru/ekologiya-i-ohrana-okruzhayushhej-sredy/,нет,https://corp.detmir.ru/soczialnye-i-blagotvoritelnye-proe/,https://corp.detmir.ru/2023-2/,нет,https://corp.detmir.ru/Миссия-и-цель/,нет,нет,https://corp.detmir.ru/politiki-i-otchety/,,6
«Интернет Решения» (OZON.RU),https://corp.ozon.ru,7704217370,*,RAEX,https://corp.ozon.ru/social#policies,https://ir.ozon.com/ru/sustainability/environment/,https://ir.ozon.com/ru/sustainability/economic-community-empowerment/,https://ir.ozon.com/ru/sustainability/labor-diversity/,нет,https://ir.ozon.com/ru/corporate_governance/?abt_att=1,https://corp.ozon.ru/#rec535834715,нет,нет,https://ir.ozon.com/ru/disclosure_information/,,7
"«М.Видео-Эльдорадо», группа",https://www.mvideoeldorado.ru/ru/,7707548740,,RAEX,https://www.mvideoeldorado.ru/ru/sustainability/ustoichivoe-razvitie,https://www.mvideoeldorado.ru/ru/sustainability/strategija#oneplanet,https://www.mvideoeldorado.ru/ru/sustainability/strategija#goal,https://www.mvideoeldorado.ru/ru/sustainability/strategija#onecommunity,https://www.mvideo.ru/fordealers?_ga=2.204442451.254203539.1594201174-1529998511.1516894669&_gac=1.183449812.1594293634.Cj0KEQjwyum6BRDQ-9jU4PSVxf8BEiQAu1AHqhtatB6ORpB-m4mP4BaUppqQLPX09JO1BEAXcC4TW2IaAt6M8P8HAQ,https://www.mvideoeldorado.ru/ru/corporate-governance/corporate-governance-structure,https://www.mvideoeldorado.ru/ru/about-us/mission-and-values,https://www.mvideoeldorado.ru/ru/corporate-governance/compliance-and-internal-policies,https://www.mvideoeldorado.ru/ru/corporate-governance/compliance-and-internal-policies,https://www.mvideoeldorado.ru/ru/shareholders-and-investors/objazatelnoe-raskrytie-informacii/vnutrennie-dokumenty,,10
Cosmos Hotel Group,https://cosmosgroup.ru/ru,7717016198,,СЗФО,нет,Нет,Нет,https://corporate.cosmosgroup.ru/ru/career,https://cosmosgroup.ru/ru/purchases/current?roistat_visit=218470,https://corporate.cosmosgroup.ru/ru/team,https://corporate.cosmosgroup.ru/ru/company?roistat_visit=2184701,https://corporate.cosmosgroup.ru/files/footer_docks/4_RU_1709728711.pdf,https://corporate.cosmosgroup.ru/files/footer_docks/6_RU_1709728736.pdf,Нет,,7
Belmond Grand Hotel Europe,https://grandhoteleurope.com/?utm_source=yandex&utm_medium=cpc&utm_campaign=[S]_BRAND_SPB&utm_content=14997128617|text1&utm_term=belmond%20grand%20hotel%20europe&yclid=7243205396202520575,7841304521,,СЗФО,нет,Нет,Нет,https://grandhoteleurope.com/career/,Нет,Нет,Нет,Нет,Нет,Нет,,2
Airportcity Plaza (бывший Crowne Plaza Airport),https://airportcityplaza.ru/?ysclid=lw92e3iexh57528448,4715015725,,СЗФО,нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,,1
Corinthia St. Petersburg,https://www.corinthia.com/,9909004136,,СЗФО,нет,Нет,Нет,https://www.corinthia.com/en-gb/careers/,Нет,Нет,https://www.corinthia.com/en-gb/careers/purpose-and-values/,Нет,Нет,Нет,,3
Novotel St. Petersburg,https://novotelspb.ru/?ysclid=lw92h6gpgc343559263,9723084834,,СЗФО,нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,,1
Crowne Plaza Ligovsky Hotel,https://crownhotelspb.ru/,7840443748,,СЗФО,нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,,1
ИГОРА,https://igora.ru,7807191652,,СЗФО,нет,Нет,Нет,https://igora.ru/vacancies/,Нет,Нет,Нет,Нет,Нет,Нет,,2
«Игора Драйв»,https://drive-igora.ru,7801321150,,СЗФО,нет,Нет,Нет,https://drive-igora.ru/vacancies/,Нет,Нет,Нет,Нет,Нет,Нет,,2
Теремок,https://teremok.ru,7825483150,,СЗФО,нет,Нет,Нет,https://rabota.teremok.ru,https://teremok.ru/contacts/?topic=product#form,Нет,Нет,Нет,Нет,Нет,,3
Rostics,https://rostics.ru,5105013817,,СЗФО,нет,Нет,https://rostics.ru/legal/policy-site,https://rabotavrostics.ru,Нет,Нет,Нет,Нет,Нет,Нет,,3
"Managment Company, управляющей брендами «Пхали Хинкали» и «Хачо и Пури» (26 ресторанов)",https://mks-mc.com,672608341827,,СЗФО,нет,Нет,Нет,https://mks-mc.com/hr,Нет,https://mks-mc.com/management/,https://mks-mc.com/#values,Нет,Нет,Нет,,4
Вкусно и точка,https://vkusnoitochka.ru,7710044140,,СЗФО,нет,Нет,Нет,https://rabotaitochka.ru,Нет,https://vkusnoitochka.ru/company/management,https://vkusnoitochka.ru/company/values,Нет,Нет,Нет,,4
VЛАVАШЕ,https://vlavashe.ru,780243065401,,СЗФО,нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,,1
Fly Drone,https://flydrone.ru/,9706011931,,СЗФО,нет,Нет,https://flydrone.ru/stopped-police/,Нет,https://flydrone.ru/register-company/,Нет,Нет,Нет,Нет,Нет,,3
ООО «Аэродин»,https://aerodyne.tech,7810676544,,СЗФО,нет,Нет,Нет,Нет,https://aerodyne.tech/products,Нет,Нет,Нет,Нет,Нет,,2
НПП “Радар ммс”,https://radar-mms.com,7814027653,,СЗФО,нет,Нет,"https://radar-mms.com/product/   (если перейти на страницу продукта, будет форма для обратной связи и вопросов)",https://radar-mms.com/company/social-politics/.   https://radar-mms.com/obrazovatelnaya-deyatelnost/svedeniya-ob-obrazovatelnoy-organizatsii/uchebnaya-baza/,Нет,Нет,Нет,Нет,Нет,Нет,,3
ГЕОСКАН,https://www.geoscan.ru,7801450808,,СЗФО,нет,https://geoscan.freshdesk.com/support/solutions (вопрос-ответ),Нет,https://www.geoscan.ru/ru/blog/tag/geoskan-obucenie,Нет,Нет,Нет,Нет,Нет,Нет,,3
КЛЮЧАВТО,https://keyauto.ru/,2310095366,,СЗФО,нет,Нет,https://keyauto.ru/services/buyers/support-service/,"Вакансии в Москве автосалонах КЛЮЧАВТО, работа в дилерском центре",https://keyauto.ru/purchases/,Нет,Нет,Нет,Нет,Нет,,3
ГК АВТОДОМ,https://avtodom.ru/,7714709349,,СЗФО,нет,Нет,Нет,https://avtodom.ru/about/career/,Нет,https://avtodom.ru/about/advisers/,Нет,Нет,Нет,Нет,,3
АВТОТОР (Калининград),https://www.avtotor.ru/,3905011678,,СЗФО,нет,https://www.avtotor.ru/kompaniya/okhrana-okruzhayushchej-sredy,Нет,https://www.avtotor.ru/kompaniya/okhrana-truda,https://www.avtotor.ru/tendery-avtotor,Нет,https://www.avtotor.ru/kompaniya/missiya-kompanii,Нет,Нет,Нет,,5
ООО «ЛАДА Санкт-Петербург» (ранее завод ООО «Ниссан Мэнуфэкчуринг РУС»),none,7813302762,,СЗФО,сайта нет,сайта нет,сайта нет,сайта нет,сайта нет,сайта нет,сайта нет,сайта нет,сайта нет,сайта нет,,0
«Автомобильный завод АГР» (бывший автозавод Hyundai),https://agr.auto/,7801463902,,СЗФО,нет,Нет,Нет,https://agr.auto/workconditions,Нет,Нет,Нет,Нет,Нет,Нет,,2
Ikon Tyres,https://www.ikontyres.ru,4703073810,,СЗФО,нет,https://www.ikontyres.ru/assets/files/ecology-policy-08062023.pdf,Нет,https://www.ikontyres.ru/assets/files/ОТ_14122023.pdf,Нет,Нет,Нет,Нет ,Нет,Нет,,3
Whoosh,https://whoosh-bike.ru,9717068640,,СЗФО,нет,Нет,https://whoosh-bike.ru/school,Нет,https://whoosh-bike.ru/localization,Нет,Нет,Нет,Нет,https://whoosh-bike.ru/ir/disclose-information,,3
Юрент,https://urent.ru/,2626047344,,СЗФО,нет,Нет,https://urent.ru/docs/privacy.pdf,Нет,Нет,Нет,Нет,Нет,Нет,Нет,,2
Ситидрайв,https://citydrive.ru/,7751193849,,СЗФО,нет,Нет,Нет,https://citydrive.ru/vacancies/,Нет,Нет,Нет,Нет,Нет,Нет,,2
BelkaCar,https://belkacar.ru/,7704871840,,СЗФО,нет,Нет,https://info.belkacar.ru/ru/,Нет,Нет,Нет,Нет,Нет,Нет,Нет,,2
Делимобиль,https://delimobil.ru,9705034527,,СЗФО,нет,Нет,https://delimobil.ru/terms/privacy-policy,https://career.delimobil.ru/#/,Нет,Нет,Нет,Нет,Нет,Нет,,3
ООО «Шарм»,нет,7801047853,,СЗФО,сайта нет,сайта нет,сайта нет,сайта нет,сайта нет,сайта нет,сайта нет,сайта нет,сайта нет,сайта нет,,0
«Геруси Фэшн»,нет,7805528702,,СЗФО,сайта нет,сайта нет,сайта нет,сайта нет,сайта нет,сайта нет,сайта нет,сайта нет,сайта нет,сайта нет,,0
Промпарк Марьино,http://www.maryino-spb.ru/,7807267735,,СЗФО,нет,Нет,http://www.maryino-spb.ru/upload/iblock/34b/34b62e1d0b03384b9d459f3f9b8b8f3a.pdf,Нет,http://www.maryino-spb.ru/news/ooo-kapital-energo-upravlyayushchaya-kompaniya-industrialnogo-parka-marino/,Нет,Нет,Нет,Нет,Нет,,3
Промпарк М10,https://xn--10-8kc4bgui.xn--p1ai/,7810923296,,СЗФО,нет,Нет,"https://xn--10-8kc4bgui.xn--p1ai/  -это сайт-одностраничник, пишут о мерах гос поддержки",Нет,Нет,Нет,Нет,Нет,Нет,Нет,,2
ОЭЗ Санкт-Петербург,https://www.spbsez.ru/,7751193849,,СЗФО,нет,https://www.spbsez.ru/upload/kelnik.refbook/b8e/vhlnmkpexjgpruflwspav7a3u2nj5jl3/ESG_%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D0%B5_%D0%A3%D0%9A_%D0%9E%D0%AD%D0%97_%D0%A2%D0%92%D0%A2_%D0%A1%D0%B0%D0%BD%D0%BA%D1%82_%D0%9F%D0%B5%D1%82%D0%B5%D1%80%D0%B1%D1%83%D1%80%D0%B3_2022_%D0%B3%D0%BE%D0%B4.pdf,https://www.spbsez.ru/about/questions/,https://www.spbsez.ru/upload/kelnik.refbook/b8e/vhlnmkpexjgpruflwspav7a3u2nj5jl3/ESG_%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D0%B5_%D0%A3%D0%9A_%D0%9E%D0%AD%D0%97_%D0%A2%D0%92%D0%A2_%D0%A1%D0%B0%D0%BD%D0%BA%D1%82_%D0%9F%D0%B5%D1%82%D0%B5%D1%80%D0%B1%D1%83%D1%80%D0%B3_2022_%D0%B3%D0%BE%D0%B4.pdf,Нет,https://www.spbsez.ru/upload/kelnik.refbook/b8e/vhlnmkpexjgpruflwspav7a3u2nj5jl3/ESG_%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D0%B5_%D0%A3%D0%9A_%D0%9E%D0%AD%D0%97_%D0%A2%D0%92%D0%A2_%D0%A1%D0%B0%D0%BD%D0%BA%D1%82_%D0%9F%D0%B5%D1%82%D0%B5%D1%80%D0%B1%D1%83%D1%80%D0%B3_2022_%D0%B3%D0%BE%D0%B4.pdf,https://www.spbsez.ru/about/management-company/#mission,Нет,https://www.spbsez.ru/upload/kelnik.refbook/b8e/vhlnmkpexjgpruflwspav7a3u2nj5jl3/ESG_%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D0%B5_%D0%A3%D0%9A_%D0%9E%D0%AD%D0%97_%D0%A2%D0%92%D0%A2_%D0%A1%D0%B0%D0%BD%D0%BA%D1%82_%D0%9F%D0%B5%D1%82%D0%B5%D1%80%D0%B1%D1%83%D1%80%D0%B3_2022_%D0%B3%D0%BE%D0%B4.pdf,https://www.spbsez.ru/about/info/docs/,,7
Агрохолдинг «СТЕПЬ»,https://www.ahstep.ru,7708813052,,RAEX,https://www.ahstep.ru/esg,https://www.ahstep.ru/ekologiya,Нет,https://www.ahstep.ru/socialnye-oprosy,https://www.ahstep.ru/tender,https://www.ahstep.ru/upravlenie,нет,https://www.ahstep.ru/upravlenie,https://www.ahstep.ru/upravlenie,Нет,,8
«Инарктика»,https://inarctica.com,7816430057,,RAEX,https://inarctica.com/company/mission-and-values/,Нет,Нет,Нет,https://inarctica.com/suppliers/tenders/,https://inarctica.com/investors/directors/,https://inarctica.com/company/mission-and-values/,нет,нет,https://inarctica.com/investors/information-disclosure/,,5
"«Русагро», группа компаний",https://www.rusagrogroup.ru/ru/,7728278043,*,RAEX,нет,Нет,Нет,https://rabota.rusagrogroup.ru,https://www.rusagrogroup.ru/ru/tendery/,https://www.rusagrogroup.ru/ru/o-kompanii/rukovodstvo/sovet-direktorov/,https://www.rusagrogroup.ru/ru/o-kompanii/cennosti/,https://www.rusagrogroup.ru/ru/investoram/korporativnye-dokumenty/#jfmulticontent_c73-2,нет,Нет,,6
«Группа Черкизово»,https://cherkizovo-group.com/,7718560636,,RAEX,https://cherkizovo-group.com/sustainable-development/,Нет,Нет,https://cherkizovo-group.com/career/,Нет,нет,https://cherkizovo-group.com/about/,нет,нет,https://cherkizovo-group.com/investors/,,4
«Эфирное»,https://www.efko.ru,3122000300,,RAEX,нет,Нет,Нет,https://www.efko.ru/career/,Нет,нет,https://www.efko.ru/about/#mission,нет,нет,Нет,,3
«Торговая компания «Мираторг»,http://www.miratorg.ru/,5009072150,,RAEX,https://miratorg.ru/about/sustainable_development/,Нет,Нет,https://miratorg.ru/career/vacancies/,Нет,https://miratorg.ru/about/directors/,нет,нет,нет,https://e-disclosure.ru/portal/company.aspx?id=10610,,4
РОСВОДОКАНАЛ,http://www.rosvodokanal.ru/,5027116065,,RAEX,https://www.rosvodokanal.ru/ustoychivoe-razvitie/ekologiya/,https://www.rosvodokanal.ru/ustoychivoe-razvitie/ekologiya/,https://www.rosvodokanal.ru/ustoychivoe-razvitie/biznes-i-obshchestvo/federalnyy-proekt-chistaya-voda/,https://www.rosvodokanal.ru/ustoychivoe-razvitie/okhrana-truda-i-prombezopasnost/shagi-bezopasnosti/,https://www.rosvodokanal.ru/about/zakupki/,https://www.rosvodokanal.ru/about/rukovodstvo/,https://www.rosvodokanal.ru/about/missiya/,нет,нет,https://www.rosvodokanal.ru/ustoychivoe-razvitie/raskrytie-informatsii/otchet-ob-ustoychivom-razvitii/,,8
«Мосводоканал»,http://www.mosvodokanal.ru/,7701984274,,RAEX,https://www.mosvodokanal.ru/about/evolution/ecology.php,https://www.mosvodokanal.ru/about/evolution/ecology.php,https://www.mosvodokanal.ru/forpeople/waterquality.php,нет,https://www.mosvodokanal.ru/sales/,https://www.mosvodokanal.ru/about/leadership/,нет,нет,https://www.mosvodokanal.ru/about/anti-corruption/,https://www.mosvodokanal.ru/about/disclosure/,,7
Водоканал СПб,https://www.vodokanal.spb.ru/,7830000426,,СЗФО,нет,https://www.vodokanal.spb.ru/o_kompanii/ohrana_okruzhayuwej_sredy/,нет,https://www.vodokanal.spb.ru/o_kompanii/ohrana_truda/,https://www.vodokanal.spb.ru/zakupki/,https://www.vodokanal.spb.ru/o_kompanii/rukovodstvo/,https://www.vodokanal.spb.ru/o_kompanii/missiya_i_cennosti/,нет,https://www.vodokanal.spb.ru/o_kompanii/protivodejstvie_korrupcii/,нет,,7
