Бренд и Юрлицо (!),Веб-сайт,ИНН,МOEX,Регион,"Устойчивое развитие, Социальная отчетность, ESG",Экология,"Забота о потребителях, защита прав потребителей ","Забота о работниках, социальные программы","Поставщикам, Закупки","Корпоративное управление, совет директоров, высший менеджмент","Миссия, ценности",Этический кодекс,Антикоррупция,Раскрытие информации,,Количесво ссылок
"""Титан"", группа компаний (деревообработка)",https://titan-group.ru,2901065656,,RAEX,https://titan-group.ru/about/development/,https://titan-group.ru/about/development/ecoinformer/,нет,https://titan-group.ru/about/development/sotsialnaya-otvetstvennost/,нет,https://titan-group.ru/about/#corpo-admin,https://titan-group.ru/about/#mission-strategy,нет,нет,нет,,6
ОЖД Октябрьская железная дорога,https://ozd.rzd.ru,2920009833,,СЗФО,нет,https://company.rzd.ru/ru/9386/page/103290?id=16380,https://ozd.rzd.ru/ru/4523,https://ozd.rzd.ru/ru/4330,https://ozd.rzd.ru/ru/10899/page/103290?id=19490,https://company.rzd.ru/ru/9349/page/105554?id=2#managers,Нет,Нет,https://company.rzd.ru/ru/9349/page/105554?id=675#6207,https://ozd.rzd.ru/ru/9532,,7
"""Бронка Групп""",https://www.bronkagroup.ru,7826136939,,СЗФО,нет,Нет,https://www.bronkagroup.ru/about/policy/,Нет,Нет,https://www.bronkagroup.ru/about/bod/,Нет,Нет,Нет,Нет,,3
АО «Морской порт Санкт-Петербург»,https://www.seaport.spb.ru,7805025346,,СЗФО,https://www.seaport.spb.ru/sustainable-development/,https://www.seaport.spb.ru/sustainable-development/environment/,https://www.seaport.spb.ru/upload/Polozenie_o_poriadke_obrabotki_perconalnyx_dannux.pdf,https://www.seaport.spb.ru/sustainable-development/occupational-safety/,https://www.seaport.spb.ru/for-suppliers-and-buyers/,Нет,Нет,Нет,Нет,https://www.seaport.spb.ru/documents/information-disclosure/,,6
СПб ГКУ «Организатор перевозок»,https://orgp.spb.ru,7840379186,,СЗФО,нет,Нет,Нет ,Нет,Нет,https://orgp.spb.ru/mn1/,Нет,Нет,https://orgp.spb.ru/anti_corruption/,Нет,,3
СПб ГУП «Горэлектротранс»,https://electrotrans.spb.ru,7830001927,,СЗФО,нет,Нет,https://electrotrans.spb.ru/passazhiram,https://electrotrans.spb.ru/sotrudnikam,Нет,https://electrotrans.spb.ru/struktura_predpriyatiya,https://electrotrans.spb.ru/o_predpriyatii,Нет,https://electrotrans.spb.ru/protivodeystvie_korrupcii,Нет,,6
"""Третий парк""",https://3park.ru,7814010096,,СЗФО,нет,Нет,https://3park.ru/passazhiram/,Нет,Нет,Нет,Нет,Нет,Нет,Нет,,2
ПИТЕРАВТО,https://piteravto.ru,7819027463,,СЗФО,нет,Нет,https://piteravto.ru/passengers/,Нет,Нет,Нет,https://piteravto.ru/about/,Нет,Нет,Нет,,3
Вест-Сервис,https://vest-service.ru,7838013473,,СЗФО,нет,Нет,https://vest-service.ru/passengers/,Нет,Нет,Нет,Нет,Нет,Нет,Нет,,2
Домтрансавто,http://www.domtransauto.ru,5009095550,,СЗФО,нет,Нет,Нет ,Нет,Нет,Нет,Нет,Нет,Нет,Нет,,1
Транспортные системы (производят электротранспорт),https://pk-ts.org,7801563632,,СЗФО,нет,Нет,Нет ,https://pk-ts.org/o-kompanii/ohrana-truda/,Нет,Нет,Нет,Нет,Нет,Нет,,2
Магистраль северной столицы (ЗСД),https://nch-spb.com,7710884741,,СЗФО,нет,https://nch-spb.com/company/ecology/,Нет ,Нет,Нет,Нет,Нет,Нет,Нет,Нет,,2
“Воздушные ворота Северной столицы”,https://pulkovoairport.ru,7703590927,,СЗФО,нет,https://pulkovoairport.ru/about/sustainability/,https://pulkovoairport.ru/passengers/,https://pulkovoairport.ru/about/careers/,https://pulkovoairport.ru/partners/,https://pulkovoairport.ru/about/about_pulkovo/executives/,Нет,Нет,Нет,https://pulkovoairport.ru/about/reports/,,6
АК Россия (базируется в СПб),https://www.rossiya-airlines.com,7810814522,,СЗФО,нет,Нет,Нет,https://www.rossiya-airlines.com/about/about_us/rossiya/labour-protection/,https://www.rossiya-airlines.com/about/zakupki/,Нет,Нет,Нет,https://www.rossiya-airlines.com/about/about_us/anti-corruption/,Нет,,4
Первый контейнерный терминал,https://www.globalports.com/ru/terminals/first-container-terminal/,7805113497,,СЗФО,https://www.globalports.com/ru/sustainability/,https://www.globalports.com/ru/sustainability/environmental/,https://www.globalports.com/ru/client/,https://www.globalports.com/ru/careers/,https://www.globalports.com/ru/tenders/,Нет,https://www.globalports.com/ru/company/mission/,https://www.globalports.com/ru/sustainability/governance/,https://www.globalports.com/ru/sustainability/anti-corruption/,Нет,,9
Ростерминалуголь,none,4707012248,,СЗФО,сайта нет,сайта нет,сайта нет,сайта нет,сайта нет,сайта нет,сайта нет,сайта нет,сайта нет,сайта нет,,0
ЛУГАПОРТ LUGAPORT (Строится),https://lugaport.com,7708328232,,СЗФО,нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,,1
РЖД,https://www.rzd.ru,7708503727,,RAEX,https://company.rzd.ru/ru/9386/page/103290?id=16380#main-header,https://company.rzd.ru/ru/9386/page/103290?id=16380,https://ozd.rzd.ru/ru/4523,https://ozd.rzd.ru/ru/4330,https://ozd.rzd.ru/ru/10899/page/103290?id=19490,https://company.rzd.ru/ru/9356#2,нет,нет,https://company.rzd.ru/ru/9349/page/105554?id=675#6207,Нет,,8
Globaltrans,https://www.globaltrans.com/ru/#home,7706593470,*,RAEX,https://www.globaltrans.com/ru/ustoichivoe-razvitie,https://www.globaltrans.com/sustainability/environment,,https://www.globaltrans.com/sustainability/employees,,https://www.globaltrans.com/ru/korporativnoe-upravlenie/sovet-direktorov,нет,нет,нет,https://www.globaltrans.com/presentation-of-information,,5
Global Ports,https://www.globalports.com/ru/,7802469783,,RAEX,https://www.globalports.com/ru/sustainability/,https://www.globalports.com/ru/sustainability/environmental/,Нет,https://www.globalports.com/ru/sustainability/safety/,Нет,https://www.globalports.com/ru/sustainability/governance/,https://www.globalports.com/ru/company/mission/,https://www.globalports.com/ru/sustainability/governance/,https://www.globalports.com/ru/sustainability/anti-corruption/,Нет,,8
«Совкомфлот»,https://www.sovcomflot.ru,7708012790,*,RAEX,https://www.sovcomflot.ru/fleet/sustainable_development/science_and_innovation/,https://www.sovcomflot.ru/about/sustainability/environment/,Нет,https://www.sovcomflot.ru/about/sustainability/osh/,Нет,https://www.sovcomflot.ru/about/sustainability/governance/,нет,нет,https://www.sovcomflot.ru/about/sustainability/anticorruption/,https://www.sovcomflot.ru/investors/disclosure/,,6
Транспортная группа FESCO,https://www.fesco.ru/ru/,2536015912,,RAEX,https://www.fesco.ru/ru/about/sustainable-development/,Нет,Нет,https://www.fesco.ru/ru/about/labor-protection/,https://www.fesco.ru/ru/about/tenders/,https://www.fesco.ru/ru/corporate/,нет,нет,нет,Нет,,5
«Транснефть»,https://www.transneft.ru,7706061801,*,RAEX,https://www.transneft.ru/development/,https://www.transneft.ru/development/ecology/,Нет,https://www.transneft.ru/development/safety-n-health/,https://www.transneft.ru/tenders/,https://www.transneft.ru/about/management/,нет,нет,https://www.transneft.ru/about/anti-corruption/,https://www.transneft.ru/information/,,7
«Новороссийский морской торговый порт»,https://www.nmtp.info,2315000061,,RAEX,https://nmtp.info/holding/socpolitic/charity/,Нет,Нет,https://www.nmtp.info/holding/socpolitic/labor_pol/,https://www.nmtp.info/holding/announcement/,https://www.nmtp.info/holding/contacts/,нет,нет,https://www.nmtp.info/holding/anti-corrupt/,https://www.nmtp.info/holding/investors/info_disclosure/prospects/,,6
«Аэрофлот - Российские авиалинии»,https://www.aeroflot.ru/ru-ru,7712040126,*,RAEX,https://www.aeroflot.ru/ru-ru/about/aeroflot_today/strategy,Нет,https://www.aeroflot.ru/ru-ru/information/special,https://www.aeroflot.ru/ru-ru/about/aeroflot_today/company_profile/documents,https://www.aeroflot.ru/ru-ru/about/retail_center,https://ir.aeroflot.ru/ru/corporate-governance/general-meeting-of-shareholders/,нет,нет,https://www.aeroflot.ru/ru-ru/about/anticorruption,Нет,,7
"«ЮТэйр», авиакомпания",https://www.utair.ru,7204000514,,RAEX,нет,Нет,https://www.utair.ru/support,Нет,https://www.utair.ru/about/corporate/purchases/,нет,нет,нет,нет,Нет,,3
S7 Airlines,https://www.s7.ru,5404237579,,RAEX,s7-ESG_2022.pdf,https://www.s7.ru/ru/info/environmental-policy/,Нет,https://www.s7.ru/ru/about/vacancies/,https://www.s7.ru/ru/tender/,нет,нет,нет,нет,Нет,,4
«Международный аэропорт Шереметьево»,https://www.svo.aero/ru/main,7710306618,,RAEX,https://www.svo.aero/ru/about/social-responsibility,Нет,https://www.svo.aero/ru/passengers/help,https://www.svo.aero/ru/about/study-and-career,https://www.svo.aero/ru/partners/tenders,нет,нет,нет,https://www.svo.aero/ru/about/anti-corruption,https://www.svo.aero/ru/partners/raskrytie-informatsii,,6
«ТрансКонтейнер»,https://trcont.com,7708591995,,RAEX,https://trcont.com/the-company/sustainable-development,https://trcont.com/the-company/sustainable-development/environment,Нет,https://trcont.com/the-company/credentials/occupational-safety,https://trcont.com/the-company/procurement,нет,нет,https://trcont.com/the-company/sustainable-development/corporate-ethics,https://trcont.com/the-company/stop-corruption,https://trcont.com/investor-relations/corporate-disclosure,,7
КФ Нева,http://kfneva.ru,4705030925,,СЗФО,нет,Нет,Нет,Нет,Нет,http://kfneva.ru/#sotrudnichestvo,Нет,Нет,Нет,Нет,,2
Шок.ф. Конфаэль,https://www.confael.ru,5044108709,,СЗФО,нет,Нет,Нет,Нет,https://www.confael.ru/sotrudnichestvo/arendodatelyam/,Нет,https://www.confael.ru/company/,Нет,Нет,Нет,,3
Невские берега,https://www.cake.spb.ru,7801003951,,СЗФО,нет,Нет,https://www.cake.spb.ru/about/28-politika,Нет,https://www.cake.spb.ru/partners,Нет,https://www.cake.spb.ru/about/30-mission,Нет,Нет,Нет,,4
Север-Метрополь,https://sever-metropol.ru,7825411011,,СЗФО,нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,,1
"""Черкизово""",https://www.cherkizovo.ru,5032046575,,СЗФО,нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,,1
"ОАО ""КАРАВАЙ""",https://www.karavay.spb.ru,7830000360,,СЗФО,нет,Нет,Нет,Нет,https://www.karavay.spb.ru/sotrudnichestvo/sotrudnichestvo/,Нет,Нет,Нет,Нет,Нет,,2
Птицефабрика Синявинская,https://pfsin.ru,4706001780,,СЗФО,нет,Нет,Нет,Нет,https://pfsin.ru/#cooperation,Нет,Нет,Нет,Нет,Нет,,2
РОСКАР,https://www.roskar.ru,4704008395,,СЗФО,нет,https://www.roskar.ru/ehkologiya,Нет,https://www.roskar.ru/vakansii,Нет,https://www.roskar.ru/rukovodstvo,Нет,Нет,Нет,Нет,,4
Ecofish ЭКОФИШ (рыба),https://ecofishshop.ru,5258127402,,СЗФО,нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,,1
ООО “Фацер”,none,7810907079,,СЗФО,сайта нет,сайта нет,сайта нет,сайта нет,сайта нет,сайта нет,сайта нет,сайта нет,сайта нет,сайта нет,,0
